id;codigoHomologado;colValorBase;colValor1;colValor2;colValor3;colValor4;colValor5;colValor6;colValor7;colValor8;colValor9;colValor10;fechaRegistro;estadoReg;codigoCum_id;concepto_id;tiposTarifa_id;usuarioRegistro_id;serviciosAdministrativos_id
16411;3333333;33330000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 11:26;A;18258;4;4;1;NULL
16412;xyz-1;2000010000;210001.0500;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;30468;6;4;NULL;NULL
16413;xyz-1;2000020000;210002.1000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;17748;6;4;NULL;NULL
16414;xyz-1;2000030000;210003.1500;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;17750;6;4;NULL;NULL
16415;xyz-1;2000040000;210004.2000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;17757;6;4;NULL;NULL
16416;xyz-1;2000060000;210006.3000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;18378;6;4;NULL;NULL
16417;xyz-1;2000070000;210007.3500;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;18478;6;4;NULL;NULL
16418;xyz-1;2000080000;210008.4000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;18264;6;4;NULL;NULL
16419;xyz-1;2000200000;210021.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;17752;6;4;NULL;NULL
16420;xyz-1;2000090000;210009.4500;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;18260;6;4;NULL;NULL
16421;xyz-1;2000100000;210010.5000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;18262;6;4;NULL;NULL
16422;xyz-1;2000110000;210011.5500;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;18263;6;4;NULL;NULL
16423;xyz-1;2000120000;210012.6000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;34593;6;4;NULL;NULL
16424;xyz-1;2000130000;210013.6500;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;34594;6;4;NULL;NULL
16425;xyz-1;2000140000;210014.7000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;34595;6;4;NULL;NULL
16426;xyz-1;2000150000;210015.7500;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;34596;6;4;NULL;NULL
16427;xyz-1;2000160000;210016.8000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;34597;6;4;NULL;NULL
16428;xyz-1;2000170000;210017.8500;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;17745;6;4;NULL;NULL
16429;xyz-1;2000180000;210018.9000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;17749;6;4;NULL;NULL
16430;xyz-1;2000190000;210019.9500;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;17751;6;4;NULL;NULL
16431;xyz-1;2000210000;210022.0500;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;17753;6;4;NULL;NULL
16432;xyz-1;2000220000;210023.1000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;17754;6;4;NULL;NULL
16433;xyz-1;2000230000;210024.1500;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;17755;6;4;NULL;NULL
16434;xyz-1;2000240000;210025.2000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;17756;6;4;NULL;NULL
16435;xyz-1;2000250000;210026.2500;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;17758;6;4;NULL;NULL
16436;xyz-1;2000260000;210027.3000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8/04/2025 7:34;A;17759;6;4;NULL;NULL
